epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,993.147,1.2745,1.19144,1.22645,0.78764,0.70451,0.76295,0.45413,1.42332,1.11901,1.35257,0.001571,0.001571,0.001571
67,1007.97,1.28462,1.1664,1.24446,0.74105,0.72784,0.78849,0.46108,1.40428,1.15529,1.35572,0.0015644,0.0015644,0.0015644
68,1022.7,1.29287,1.18178,1.24607,0.74387,0.71384,0.76898,0.44538,1.42696,1.15026,1.35287,0.0015578,0.0015578,0.0015578
69,1042.55,1.26044,1.14418,1.2218,0.67466,0.65147,0.67421,0.38154,1.56822,1.3026,1.51088,0.0015512,0.0015512,0.0015512
70,1062.59,1.2642,1.17937,1.22092,0.68011,0.69051,0.71862,0.40609,1.45788,1.24009,1.38631,0.0015446,0.0015446,0.0015446
71,1081.07,1.26585,1.17099,1.21906,0.79095,0.72374,0.79552,0.45879,1.39911,1.13321,1.34351,0.001538,0.001538,0.001538
72,1095.99,1.25152,1.14535,1.21203,0.77456,0.7014,0.75631,0.42884,1.47781,1.18679,1.38212,0.0015314,0.0015314,0.0015314
73,1110.54,1.2702,1.16012,1.21507,0.78602,0.68429,0.76283,0.45883,1.40643,1.11887,1.33788,0.0015248,0.0015248,0.0015248
74,1126.67,1.25841,1.14953,1.23076,0.78153,0.53499,0.64395,0.38631,1.47717,1.47512,1.42076,0.0015182,0.0015182,0.0015182
75,1141.54,1.2359,1.1214,1.20237,0.79762,0.72317,0.79657,0.48232,1.35708,1.00952,1.30982,0.0015116,0.0015116,0.0015116
76,1160.75,1.23718,1.17004,1.22205,0.81527,0.74814,0.83303,0.51203,1.30163,1.04907,1.28667,0.001505,0.001505,0.001505
77,1175.76,1.23805,1.13634,1.22379,0.74975,0.72222,0.76299,0.42832,1.42828,1.17786,1.37824,0.0014984,0.0014984,0.0014984
78,1190.69,1.23374,1.11543,1.2043,0.80946,0.76639,0.83009,0.49578,1.36526,0.9739,1.32943,0.0014918,0.0014918,0.0014918
79,1205.78,1.21974,1.07754,1.19504,0.78709,0.70142,0.79093,0.45643,1.4242,1.06136,1.39373,0.0014852,0.0014852,0.0014852
80,1220.48,1.22586,1.0834,1.19247,0.76359,0.7585,0.80474,0.4628,1.38857,1.06581,1.30752,0.0014786,0.0014786,0.0014786
81,1234.96,1.22603,1.11063,1.20118,0.82874,0.76763,0.83612,0.51004,1.33754,0.97776,1.30745,0.001472,0.001472,0.001472
82,1249.76,1.22615,1.06815,1.19907,0.83367,0.74028,0.81635,0.50414,1.31418,1.01828,1.3065,0.0014654,0.0014654,0.0014654
83,1265.03,1.22445,1.11215,1.20927,0.74781,0.74707,0.78688,0.47312,1.36756,1.05437,1.30438,0.0014588,0.0014588,0.0014588
84,1279.79,1.21371,1.08236,1.18516,0.78396,0.70295,0.78587,0.44641,1.43976,1.04167,1.34245,0.0014522,0.0014522,0.0014522
