epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1186.18,1.49593,1.61606,1.35562,0.52666,0.53178,0.48702,0.23006,1.80663,1.78237,1.62046,0.0015446,0.0015446,0.0015446
71,1202.24,1.54065,1.55581,1.37127,0.59163,0.54044,0.52724,0.242,1.73262,1.87437,1.54301,0.001538,0.001538,0.001538
72,1217.92,1.49768,1.536,1.35627,0.57984,0.56618,0.54735,0.26024,1.73977,1.75887,1.55284,0.0015314,0.0015314,0.0015314
73,1233.77,1.5182,1.5821,1.34812,0.60047,0.56985,0.59187,0.30604,1.55456,1.61268,1.44404,0.0015248,0.0015248,0.0015248
74,1249.57,1.53245,1.57712,1.34131,0.59894,0.60662,0.60287,0.30596,1.61893,1.63141,1.47636,0.0015182,0.0015182,0.0015182
75,1265.07,1.51977,1.54172,1.3454,0.57579,0.58884,0.59105,0.2805,1.68995,1.73205,1.50577,0.0015116,0.0015116,0.0015116
76,1281.11,1.45746,1.5304,1.33315,0.61512,0.59926,0.61501,0.30231,1.64885,1.51444,1.50467,0.001505,0.001505,0.001505
77,1297.54,1.46023,1.49637,1.32677,0.57251,0.65978,0.60361,0.30738,1.56091,1.51599,1.43993,0.0014984,0.0014984,0.0014984
78,1314.06,1.48899,1.54411,1.34479,0.63986,0.63971,0.62693,0.31659,1.63447,1.54791,1.47277,0.0014918,0.0014918,0.0014918
79,1329.98,1.47824,1.47363,1.32034,0.65791,0.67279,0.6257,0.31788,1.57563,1.51777,1.46443,0.0014852,0.0014852,0.0014852
80,1346.05,1.47774,1.48153,1.32374,0.63468,0.52574,0.58211,0.30619,1.66951,1.6083,1.52054,0.0014786,0.0014786,0.0014786
81,1362.17,1.51738,1.50263,1.34913,0.55663,0.63603,0.54261,0.27241,1.6207,1.64965,1.49963,0.001472,0.001472,0.001472
82,1379.03,1.47679,1.51564,1.3277,0.61124,0.57226,0.56458,0.29352,1.71265,1.69353,1.55616,0.0014654,0.0014654,0.0014654
83,1395.62,1.49994,1.47704,1.33196,0.52443,0.66544,0.56532,0.28713,1.7082,1.51841,1.53815,0.0014588,0.0014588,0.0014588
84,1411.88,1.5138,1.54664,1.35379,0.58877,0.63603,0.60303,0.31432,1.62934,1.58705,1.49679,0.0014522,0.0014522,0.0014522
85,1428.35,1.4822,1.45095,1.32031,0.68456,0.47794,0.52696,0.2629,1.76687,1.81664,1.60261,0.0014456,0.0014456,0.0014456
86,1446.28,1.48047,1.49044,1.33591,0.60233,0.58471,0.60019,0.28127,1.7345,1.58961,1.54269,0.001439,0.001439,0.001439
87,1464.62,1.44159,1.43867,1.30618,0.59912,0.57721,0.56595,0.29426,1.65826,1.57717,1.49337,0.0014324,0.0014324,0.0014324
88,1484,1.43037,1.47662,1.31337,0.57554,0.69485,0.59224,0.3185,1.52012,1.51389,1.45188,0.0014258,0.0014258,0.0014258
89,1500.1,1.43528,1.44002,1.29798,0.59593,0.60186,0.59463,0.29854,1.60972,1.63328,1.49248,0.0014192,0.0014192,0.0014192
90,1516.57,1.45596,1.42074,1.32857,0.62878,0.48529,0.54806,0.27887,1.69967,1.73531,1.55105,0.0014126,0.0014126,0.0014126
91,1532.69,1.43222,1.45949,1.30422,0.55063,0.58824,0.57024,0.28306,1.67304,1.61207,1.54021,0.001406,0.001406,0.001406
92,1549.2,1.4694,1.46853,1.31864,0.64537,0.66237,0.68614,0.36057,1.53293,1.43926,1.44468,0.0013994,0.0013994,0.0013994
93,1565.18,1.45891,1.43083,1.31928,0.63384,0.59191,0.59953,0.32673,1.61171,1.50769,1.46735,0.0013928,0.0013928,0.0013928
94,1581.61,1.48812,1.40628,1.30127,0.62293,0.59926,0.58925,0.31865,1.58248,1.61872,1.49094,0.0013862,0.0013862,0.0013862
95,1598.17,1.44873,1.4384,1.30844,0.69768,0.5,0.60217,0.31696,1.63509,1.58189,1.52331,0.0013796,0.0013796,0.0013796
96,1614.21,1.45625,1.4286,1.31356,0.68885,0.66743,0.67894,0.35218,1.5897,1.4158,1.46468,0.001373,0.001373,0.001373
97,1630.69,1.42033,1.36362,1.29963,0.57268,0.63603,0.57374,0.2714,1.65303,1.5783,1.49828,0.0013664,0.0013664,0.0013664
98,1646.69,1.46058,1.41275,1.31515,0.6926,0.60294,0.62567,0.32001,1.59627,1.44708,1.52401,0.0013598,0.0013598,0.0013598
99,1663.17,1.47914,1.43607,1.31154,0.52152,0.65317,0.58156,0.28243,1.65827,1.51855,1.52908,0.0013532,0.0013532,0.0013532
100,1679.3,1.46648,1.46131,1.32372,0.59613,0.60778,0.58437,0.30489,1.58724,1.52683,1.49765,0.0013466,0.0013466,0.0013466
101,1695.98,1.44991,1.44269,1.3176,0.63352,0.61765,0.62294,0.33217,1.60926,1.46128,1.50274,0.00134,0.00134,0.00134
102,1712.37,1.46951,1.42833,1.32078,0.53085,0.65441,0.53097,0.25457,1.71403,1.58888,1.55597,0.0013334,0.0013334,0.0013334
103,1728.44,1.44186,1.41233,1.30359,0.59745,0.58088,0.57371,0.27354,1.78357,1.64133,1.63032,0.0013268,0.0013268,0.0013268
104,1744.98,1.43994,1.42128,1.31554,0.7146,0.65074,0.6656,0.35541,1.52576,1.40862,1.42881,0.0013202,0.0013202,0.0013202
105,1761.12,1.39218,1.36934,1.25538,0.66564,0.58456,0.58964,0.31283,1.65634,1.5135,1.51954,0.0013136,0.0013136,0.0013136
106,1777.65,1.40476,1.36222,1.26022,0.63829,0.69118,0.62441,0.31233,1.58939,1.39454,1.44829,0.001307,0.001307,0.001307
107,1793.87,1.37475,1.35016,1.25493,0.61058,0.67279,0.64794,0.3187,1.63843,1.50933,1.41794,0.0013004,0.0013004,0.0013004
108,1810.38,1.4114,1.43131,1.28914,0.60589,0.63235,0.60365,0.29234,1.64647,1.53914,1.44949,0.0012938,0.0012938,0.0012938
109,1826.87,1.4251,1.36974,1.28532,0.6737,0.60725,0.6541,0.34307,1.64392,1.46079,1.48729,0.0012872,0.0012872,0.0012872
110,1843.04,1.4348,1.38049,1.28397,0.71557,0.64338,0.66463,0.34534,1.60114,1.42619,1.45175,0.0012806,0.0012806,0.0012806
111,1859.88,1.38341,1.36176,1.23929,0.70889,0.64338,0.67576,0.35049,1.60121,1.39269,1.48763,0.001274,0.001274,0.001274
112,1875.75,1.41583,1.3856,1.28786,0.72898,0.61765,0.67192,0.35274,1.57944,1.35479,1.48012,0.0012674,0.0012674,0.0012674
113,1892.29,1.39782,1.37318,1.27646,0.63343,0.66912,0.61143,0.30558,1.68001,1.4591,1.51532,0.0012608,0.0012608,0.0012608
114,1908.62,1.43013,1.34298,1.27433,0.53335,0.59191,0.54642,0.27924,1.70741,1.60297,1.56171,0.0012542,0.0012542,0.0012542
115,1925.05,1.37979,1.33704,1.26913,0.59424,0.47381,0.46489,0.24038,1.81397,1.99208,1.65248,0.0012476,0.0012476,0.0012476
116,1941.94,1.40187,1.29973,1.25927,0.67444,0.61029,0.61211,0.32736,1.59281,1.40817,1.47763,0.001241,0.001241,0.001241
117,1957.94,1.38519,1.32364,1.26483,0.67012,0.66912,0.66855,0.35767,1.57506,1.35869,1.4709,0.0012344,0.0012344,0.0012344
118,1975.81,1.37678,1.33543,1.24775,0.63845,0.61397,0.62087,0.34121,1.57186,1.4703,1.46193,0.0012278,0.0012278,0.0012278
119,1993.59,1.39566,1.29219,1.26762,0.57438,0.71446,0.64243,0.3419,1.55761,1.40675,1.44529,0.0012212,0.0012212,0.0012212
120,2010.36,1.36895,1.28106,1.25123,0.63619,0.68791,0.69089,0.381,1.55558,1.36361,1.42681,0.0012146,0.0012146,0.0012146
121,2026.49,1.38765,1.29326,1.28405,0.65858,0.65441,0.65868,0.35008,1.52286,1.41893,1.4045,0.001208,0.001208,0.001208
122,2043.26,1.36881,1.30113,1.24009,0.70272,0.63603,0.64389,0.32385,1.61897,1.36945,1.46331,0.0012014,0.0012014,0.0012014
123,2059.89,1.4107,1.36194,1.27195,0.68098,0.66708,0.67547,0.35572,1.57294,1.3033,1.47049,0.0011948,0.0011948,0.0011948
124,2076.43,1.37664,1.29052,1.24287,0.68105,0.61233,0.62501,0.32592,1.63278,1.43929,1.50116,0.0011882,0.0011882,0.0011882
125,2092.87,1.35928,1.32418,1.23811,0.6216,0.65441,0.62582,0.3339,1.57339,1.46663,1.45968,0.0011816,0.0011816,0.0011816
126,2110.08,1.37418,1.29809,1.24245,0.67384,0.68382,0.66624,0.35568,1.52904,1.38127,1.47534,0.001175,0.001175,0.001175
127,2127.79,1.38103,1.31061,1.2582,0.63512,0.70395,0.67966,0.37571,1.57444,1.32742,1.46812,0.0011684,0.0011684,0.0011684
128,2144.26,1.38706,1.30146,1.25485,0.66686,0.67706,0.65674,0.35306,1.58352,1.30431,1.49417,0.0011618,0.0011618,0.0011618
129,2160.83,1.36882,1.28271,1.26154,0.73263,0.65441,0.68263,0.37228,1.51339,1.31077,1.44154,0.0011552,0.0011552,0.0011552
130,2177.12,1.37514,1.28943,1.235,0.65554,0.68568,0.64053,0.34822,1.57248,1.34272,1.45037,0.0011486,0.0011486,0.0011486
131,2197.48,1.38297,1.30167,1.24389,0.62273,0.68573,0.66346,0.33593,1.61675,1.38497,1.48473,0.001142,0.001142,0.001142
132,2214.16,1.35639,1.31604,1.26066,0.67331,0.63971,0.63058,0.33158,1.58814,1.48171,1.47357,0.0011354,0.0011354,0.0011354
133,2233.87,1.37069,1.26657,1.24844,0.64808,0.70956,0.69223,0.38337,1.56317,1.27358,1.43972,0.0011288,0.0011288,0.0011288
134,2250.39,1.33767,1.2812,1.24228,0.66295,0.70221,0.69911,0.3755,1.54965,1.32822,1.38709,0.0011222,0.0011222,0.0011222
135,2270.43,1.35626,1.26958,1.23906,0.66483,0.70588,0.69233,0.36356,1.56825,1.32142,1.44307,0.0011156,0.0011156,0.0011156
136,2286.72,1.36536,1.35222,1.24606,0.60868,0.75368,0.65695,0.35568,1.56448,1.31486,1.44325,0.001109,0.001109,0.001109
137,2306.72,1.33309,1.22272,1.22515,0.63827,0.66544,0.62996,0.33641,1.62146,1.32511,1.53479,0.0011024,0.0011024,0.0011024
138,2323.12,1.3232,1.22999,1.22904,0.66305,0.64338,0.65182,0.32272,1.6772,1.52172,1.53822,0.0010958,0.0010958,0.0010958
139,2339.38,1.3145,1.19479,1.19891,0.64948,0.68122,0.67788,0.36877,1.57607,1.31168,1.45152,0.0010892,0.0010892,0.0010892
140,2356.07,1.35375,1.20223,1.22573,0.79353,0.59926,0.71876,0.38306,1.61659,1.31174,1.46095,0.0010826,0.0010826,0.0010826
141,2376.5,1.34255,1.27437,1.23071,0.67265,0.69853,0.67669,0.37456,1.54491,1.295,1.41955,0.001076,0.001076,0.001076
142,2393.52,1.30926,1.17883,1.19412,0.72733,0.67647,0.74684,0.4053,1.55881,1.24865,1.39828,0.0010694,0.0010694,0.0010694
143,2410.46,1.31962,1.19774,1.21032,0.65218,0.74632,0.68081,0.37134,1.51349,1.28729,1.39806,0.0010628,0.0010628,0.0010628
144,2426.81,1.35834,1.20177,1.22406,0.68781,0.65609,0.65323,0.3561,1.54506,1.31413,1.40656,0.0010562,0.0010562,0.0010562
145,2443.28,1.3194,1.16801,1.1941,0.6049,0.65441,0.62213,0.31793,1.60377,1.42388,1.46434,0.0010496,0.0010496,0.0010496
146,2459.9,1.34963,1.21317,1.21249,0.69735,0.63971,0.68148,0.36349,1.59643,1.33498,1.46897,0.001043,0.001043,0.001043
147,2476.36,1.37081,1.20138,1.22518,0.67675,0.68015,0.65896,0.34697,1.56298,1.31824,1.45596,0.0010364,0.0010364,0.0010364
148,2492.81,1.30856,1.23276,1.2279,0.68812,0.69485,0.67384,0.3484,1.59505,1.32366,1.50255,0.0010298,0.0010298,0.0010298
149,2509.31,1.31253,1.1771,1.22285,0.67156,0.69485,0.71266,0.37893,1.57361,1.2854,1.45364,0.0010232,0.0010232,0.0010232
150,2525.97,1.28125,1.17421,1.21066,0.73076,0.64706,0.71218,0.39878,1.50334,1.25687,1.40763,0.0010166,0.0010166,0.0010166
151,2541.97,1.29012,1.18002,1.20317,0.72837,0.64338,0.66986,0.37628,1.53697,1.3317,1.4107,0.00101,0.00101,0.00101
152,2558.47,1.31253,1.20234,1.193,0.70432,0.70221,0.70684,0.39479,1.52877,1.26328,1.39982,0.0010034,0.0010034,0.0010034
153,2574.33,1.28483,1.20013,1.20647,0.74614,0.65914,0.69678,0.38335,1.5623,1.25706,1.43779,0.0009968,0.0009968,0.0009968
154,2590.66,1.29466,1.18342,1.20044,0.72206,0.72587,0.68633,0.3911,1.5261,1.22791,1.43042,0.0009902,0.0009902,0.0009902
